date,symbol,series,isin,name,open,high,low,close,prev_close,chg_pct,volume,value
2026-07-10,3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED,18.24,19.52,18.21,18.77,18.24,2.91,1658274,31125803.74
2026-07-10,AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED,24.5,25.53,24.5,25.14,25.21,-0.28,7274,182868.36
2026-07-10,AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED,49.0,49.9,48.0,49.26,49.66,-0.81,31611,1557157.81
2026-07-10,AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED,373.85,389.0,373.85,387.05,373.85,3.53,10060,3893722.88
2026-07-10,ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.,12.89,14.23,12.89,13.47,13.56,-0.66,234525,3159051.81
2026-07-10,ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED,10.39,10.46,10.22,10.28,10.32,-0.39,1156335,11887123.49
2026-07-10,ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD,40.61,40.61,40.61,40.61,40.61,0.0,0,0.0
2026-07-10,ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED,5.41,5.41,5.1,5.26,5.28,-0.38,60522,318345.73
2026-07-10,AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD,585.0,587.9,580.0,584.3,585.0,-0.12,119,69531.7
2026-07-10,AKI,BE,INE642Z01026,AKI INDIA LIMITED,4.7,4.8,4.6,4.7,4.64,1.29,52713,247751.09
2026-07-10,AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED,232.0,238.0,231.0,235.0,234.72,0.12,5899,1386265.0
2026-07-10,AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD,6.23,6.24,6.23,6.23,6.35,-1.89,261652,1630091.96
2026-07-10,ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED,194.1,202.0,194.1,199.12,197.86,0.64,2210,440055.19
2026-07-10,AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED,179.17,179.17,179.17,179.17,182.82,-2.0,8239,1476181.61
2026-07-10,AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L,31.24,32.18,31.0,31.07,31.24,-0.54,54299,1687069.91
2026-07-10,AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED,47.17,47.17,45.11,46.24,45.69,1.2,16816,777571.87
2026-07-10,ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED,11.05,11.15,10.85,10.94,10.92,0.18,16239,177654.65
2026-07-10,APTECHT,BE,INE266F01018,APTECH LIMITED,100.1,100.9,98.81,100.09,99.81,0.28,68433,6849458.72
2026-07-10,ARIES,BE,INE298I01015,ARIES AGRO LTD.,345.15,347.8,342.85,344.15,344.05,0.03,15977,5498484.45
2026-07-10,ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD,283.0,285.0,267.6,269.65,275.85,-2.25,14760,3980033.91
2026-07-10,ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD,7.0,7.18,7.0,7.04,7.07,-0.42,156432,1101281.27
2026-07-10,AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED,213.9,213.9,205.8,209.79,209.19,0.29,11111,2330976.62
2026-07-10,BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD,204.61,204.61,200.65,204.61,200.6,2.0,2348,480424.28
2026-07-10,BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.,25.25,26.5,25.25,26.41,25.44,3.81,60104,1587346.63
2026-07-10,BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD,289.95,301.0,289.0,299.3,287.95,3.94,32229,9646139.31
2026-07-10,BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD,206.0,213.83,204.0,212.32,203.65,4.26,13521,2870778.82
2026-07-10,BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD,120.91,123.0,119.0,121.99,120.91,0.89,36681,4474715.11
2026-07-10,BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED,4.13,4.43,4.13,4.19,4.34,-3.46,7383,30934.77
2026-07-10,BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD,525.0,535.45,512.0,524.3,524.15,0.03,456537,239362343.53
2026-07-10,BTTL,BE,INE274K01012,BHILWARA TECHNICAL TEXT L,56.88,57.3,53.02,54.33,54.87,-0.98,51479,2796854.16
2026-07-10,BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED,33.0,33.0,33.0,33.0,33.0,0.0,0,0.0
2026-07-10,BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD,34.35,35.2,33.56,34.15,34.34,-0.55,21322,728146.33
2026-07-10,CALSOFT,BE,INE526B01014,CALIFORNIA SOFTWARE CO LT,21.94,22.44,21.61,22.3,21.39,4.25,77863,1736344.84
2026-07-10,CAPTRUST,BE,INE707C01018,CAPITAL TRUST LIMITED,12.95,13.11,12.26,12.37,12.9,-4.11,25231,312107.47
2026-07-10,CHEMBONDCH,BE,INE0TGX01019,CHEMBOND CHEMICAL LIMITED,238.45,243.13,231.5,243.13,231.56,5.0,47201,11475979.36
2026-07-10,CHEMCON,BE,INE03YM01018,CHEMCON SPECIAL CHEM LTD,182.91,187.0,182.91,184.0,182.91,0.6,15124,2782816.0
2026-07-10,CONSOFINVT,BE,INE025A01027,CONSO. FIN. & HOLD. LTD.,267.0,269.0,256.98,263.33,261.44,0.72,23654,6228807.5
2026-07-10,COUNCODOS,BE,INE695B01025,COUNTRY CONDO S LIMITED,5.07,6.1,5.07,5.86,5.12,14.45,750469,4397748.44
2026-07-10,CTE,BE,INE627H01017,CAMBRIDGE TECH ENTER LTD,29.4,30.0,29.11,29.31,29.33,-0.07,3270,95843.7
2026-07-10,CURAA,BE,INE117B01020,CURA TECHNOLOGIES LIMITED,75.0,77.5,74.8,75.87,75.0,1.16,375,28451.25
2026-07-10,CYBERMEDIA,BE,INE278G01037,CYBER MEDIA (INDIA) LTD.,16.39,16.39,15.56,16.12,16.21,-0.56,4311,69493.32
2026-07-10,CYBERTECH,BE,INE214A01019,CYBERTECH SYSTEMS & SOFTW,140.0,145.0,138.0,140.59,139.03,1.12,12794,1798708.41
2026-07-10,DAMODARIND,BE,INE497D01022,DAMODAR INDUSTRIES LTD,30.4,31.5,30.3,31.19,31.49,-0.95,2210,68929.9
2026-07-10,DBSTOCKBRO,BE,INE921B01025,DB (INT) STOCK BROKERS,42.29,43.0,40.25,42.71,42.3,0.97,20360,869575.58
