symbol,shares_outstanding
3IINFOLTD,207403767
AARTECH,31770375
AARTISURF,8470905
ABAN,58365323
ABINFRA,638789360
ABMINTLLTD,9408000
ACCURACY,150560000
AHLWEST,11651210
AKI,103205956
AKSHARCHEM,8033099
AKSHOPTFBR,162697971
ALPHAGEO,6364767
AMANTA,38829351
AMBALALSA,76633296
AMDIND,19166749
ANMOL,56914150
APTECHT,58002817
ARIES,13004339
ASAHISONG,11787262
ASMS,304576740
AVG,18708076
BAFNAPH,23656335
BASML,79921375
BGRENERGY,72161560
BHAGERIA,43644180
BHARATGEAR,15355058
BI,23545231
BILVYAPAR,31366175
BIRLAPREC,68387637
BLISSGVS,106330472
BTTL,58373305
BURNPUR,17224873
BYKE,52279300
CALSOFT,61828424
CAPTRUST,33875489
CFEL,25020000
CHEMBONDCH,26896576
CHEMCON,36630701
CONSOFINVT,32326366
COUNCODOS,77597300
CRSL,423144706
CTE,19250771
CURAA,9900000
CYBERMEDIA,20829721
CYBERTECH,30280593
DAMODARIND,23300000
DBSTOCKBRO,35000000
DELPHIFX,245267775
DHABRIYA,10824245
DIACABS,598071060
DIGJAMLMTD,20000000
DPSCLTD,973789640
DPWIRES,15500444
DSFCL,86992185
DSKULKARNI,10000000
DTIL,10507427
E2E,205457890
EASTSILK,5000000
EIFFL,24800000
EMAMIPAP,60499050
EMMBI,19240250
EQUIPPP,103095225
ESAFSFB,516018126
EUROTEXIND,11756350
EVERESTIND,15855754
FAIRCHEMOR,12595902
FLEXITUFF,32822806
FOCUS,67229575
GANESHBE,71989421
GATECH,1787408130
GATECHDVR,1292408130
GEECEE,20911729
GFSTEELS,30430000
GICL,111954588
GINNIFILA,85650065
GOLDTECH,52373239
GRADIENTE,332400000
GRAVISSHO,70519135
GULFPETRO,50984383
GVKPIL,1579210400
GVPTECH,184033597
HEG,192977530
HEXAGON,122918109
HFCL,1530263663
HITECHCORP,17175700
HITECHGEAR,18820044
HMVL,73671548
HYBRIDFIN,29436275
ICDSLTD,13026700
INDOAMIN,72587560
IVP,10326263
KALYANIFRG,3638000
KAMDHENU,281883000
KANORICHEM,43693333
KAUSHALYA,346306
KAVDEFENCE,60124260
KAYA,15187609
KCPSUGIND,114282557
KESORAMIND,310663663
KHADIM,18378382
KILITCH,34961564
KOTARISUG,82888581
KOTYARK,113070276
KRONOX,37104000
KSR,18378382
LADDERUP,10602477
LANCORHOL,73550560
LEENEE,55774000
LOTUSDEV,488723710
LYKALABS,36152711
MADHUCON,73794940
MAHASTEEL,16434400
MAJESAUT,10397478
MANAKSTEEL,65534050
MAZDA,20025000
MBECL,33333334
MEDICAMEQ,13562815
MEDICAPQ,12469956
MENONBE,56040000
MHLXMIRU,10620275
MICEL,297884978
MINALIND,191900650
MODISONLTD,32450000
MOLDTECH,28805118
MOMSBELIEF,20901682
MPDL,7412524
MTARTECH,30759591
MTEDUCARE,72228054
MUKKA,300000000
MUKTAARTS,22585200
NATCAPSUQ,10411154
NAVKARURB,1122090422
NECCLTD,104500000
NEUEON,565445520
NIRAJISPAT,600000
NRL,69068996
NURECA,9998488
OCCLLTD,49950460
OILCOUNTUB,56184530
OMFREIGHT,33675442
ONELIFECAP,37360000
ONMOBILE,106321351
ORBTEXP,25620330
ORIENTLTD,10000000
OSIAHYPER,164573900
PANACHE,16014000
PAR,12304636
PARSVNATH,435181170
PATINTLOG,64185746
PIONRINV,12296908
PKTEA,3095879
PPAP,14152987
PPL,23922227
PREMIER,32025499
PRIORITY,18000000
PRITIKAUTO,166512667
PRUDMOULI,32252000
QMSMEDI,19337443
RADHIKAJWE,118126508
RAJOOENG,178675293
RAJRILTD,563089836
RAMASTEEL,1636040980
RBZJEWEL,40000000
RCOM,2764432389
RELINFRA,408181194
REPL,18122500
RMDRIP,428228571
RNBDENIMS,285588029
ROLLT,250130000
RPPL,74244000
RSWM,47101684
SADHNANIQ,3032194385
SANGINITA,25901550
SCPL,10500000
SETCO,134108084
SEYAIND,29841988
SHAHALLOYS,19797540
SHALPAINTS,83711178
SHARDUL,87492165
SHEKHAWATI,34470000
SHEMAROO,28730299
SHYAMCENT,212172990
SICALLOG,79784870
SIGIND,29437000
SIGMAADV,176239705
SIKKO,436800000
SMARTLINK,9975000
SONAMLTD,40032000
SPECIALITY,48235657
SPECTRUM,17087465
SREEL,23155012
STALLION,116085738
STERTOOLS,36344426
STLTECH,514057433
SUNDRMBRAK,3934575
SUPERSPIN,56026120
SUPTANERY,107973360
SUTLEJTEX,166017754
SWANDEF,52682150
SWARAJ,26418260
SWISSMLTRY,236138290
SYSTMTXC,136746784
TICL,155000000
TIJARIA,29015176
TIL,82443816
TIRUPATIFL,126630000
TOTAL,16126974
TPHQ,1096219600
TRANSPEK,5585569
TRANSWORLD,21957533
TVVISION,38744500
UCAL,22113625
UFBL,39117661
UMAEXPORTS,33809830
UNIVASTU,35986770
UNIVPHOTO,10946604
URAVIDEF,11400000
UYFINCORP,190238329
VALIANTLAB,54312500
VALIANTORG,28034610
VARDHACRLC,80363747
VCL,183752220
VENUSREM,13382692
VETO,19114956
VHLTD,76781956
VIJIFIN,221000000
VIPULLTD,140959480
VIVIMEDLAB,82913915
WELINV,3666538
AGSTRA,128106004
ANKITMETAL,141110500
ANSALAPI,157404876
ARSHIYA,263475915
ASTRON,47262296
COMPINFO,87318090
DHARAN,5228758452
FEL,494305080
FELDVR,494305080
FLFL,201774874
GENSOL,38446368
GOLDENTOBC,17680630
HDIL,474003986
HMT,355601640
IL&FSENGG,131121078
IL&FSTRANS,328960027
IMPEXFERRO,89349856
LAKPRE,22735932
MEP,183446052
RAJESHEXPO,295259959
RHFL,487946073
SANWARIA,1387265385
SETUINFRA,128900780
SHRENIK,612000000
SIMBHALS,42441810
SITINET,1154882125
SUPREMEENG,249950000
20MICRONS,35286502
21STCENMGM,10500000
360ONE,407914200
3MINDIA,11265070
5PAISA,46879257
63MOONS,46078537
A2ZINFRA,177522358
AAATECH,12826800
AADHARHFC,438393157
AAKASH,101250000
AAREYDRUGS,33354303
AARON,20946478
AARTIDRUGS,91270000
AARTIIND,362726695
AARTIPHARM,90679813
AARVI,14810700
AAVAS,79294327
ABANSENT,69748880
ABB,211908375
ABBOTINDIA,21249302
ABCAPITAL,2737726904
ABCOTS,21963620
ABDL,279710151
ABFRL,1216777241
ABLBL,1214638186
ABMKNO,20002200
ABREL,110577844
ABSLAMC,289375135
ACC,187787263
ACCELYA,14926261
ACE,119027888
ACEINTEG,10200000
ACI,123458394
ACL,92172140
ACMESOLAR,706291446
ACUTAAS,81871122
ADANIENSOL,1222954468
ADANIENT,1353722600
ADANIGREEN,1647176155
ADANIPORTS,2303959098
ADANIPOWER,19284694705
ADDIND,10796574
ADFFOODS,109863595
ADL,5566250
ADOR,17402815
ADROITINFO,54628520
ADSL,56650603
ADVAIT,10936777
ADVANCE,64285720
ADVANIHOTR,92438500
ADVENTHTL,53942887
ADVENZYMES,110517246
AEGISLOG,351000000
AEGISVOPAK,1107991489
AEPL,251036900
AEQUS,654854135
AEROENTER,113164200
AEROFLEX,132330768
AERONEU,25796000
AEROPLANE,103551556
AETHER,132727845
AFCONS,367784631
AFFLE,140740451
AFFORDABLE,11851105
AFIL,426749960
AFSL,51215124
AGARIND,14957789
AGARWALEYE,317026183
AGI,64697381
AGIIL,124997388
AGL,982782096
AGRITECH,5940000
AGROPHOS,20274115
AHCL,531515000
AHLADA,12921000
AHLEAST,17291696
AHLUCONT,66987560
AIAENG,93320370
AIIL,849225500
AIRAN,125020000
AIROLAM,15002000
AJANTPHARM,124959024
AJAXENGG,114411316
AJMERA,196795650
AJOONI,172243598
AKASH,16862534
AKCAPIT,6600000
AKG,31776576
AKSHAR,787468500
AKUMS,153102058
ALANKIT,271158100
ALBERTDAVD,5707162
ALEMBICLTD,256781828
ALGOQUANT,281096028
ALICON,16336840
ALIVUS,122771448
ALKALI,10182506
ALKEM,119565000
ALKYLAMINE,51148224
ALLCARGO,1497778469
ALLDIGI,15238326
ALLTIME,65507778
ALMONDZ,174899756
ALOKINDS,4965240401
ALPA,21040600
ALPINETEX,38247000
AMAGI,216338944
AMARJOTHI,6750000
AMBER,35267767
AMBICAAGAR,17177400
AMBIKCO,5725000
AMBUJACEM,2484817186
AMJLAND,41000000
AMNPLST,55020000
AMRUTANJAN,28900081
ANANDRATHI,166041268
ANANTRAJ,359876930
ANDHRAPAP,198850195
ANDHRSUGAR,135535390
ANDREWYU,488950978
ANGELONE,914036506
ANIKINDS,27753486
ANNAPURNA,21820000
ANNU,65492670
ANSALBU,7383843
ANTELOPUS,35162358
ANTGRAPHIC,155009600
ANTHEM,561713851
ANUHPHR,100224000
ANUP,20031466
ANURAS,113848310
APARINDS,41872337
APCL,29374764
APCOTEXIND,51844960
APEX,31250000
APLAPOLLO,277658405
APLLTD,196563124
APOLLO,371599512
APOLLOHOSP,143784657
APOLLOPIPE,43919356
APOLLOTYRE,632581334
APOLSINHOT,2600400
APOORVA,19974900
APTUS,500830236
AQYLON,253730560
ARCHIDPLY,20002967
ARCHIES,33780000
ARCL,8000000
ARDEE,315200950
ARE&M,183025364
ARENTERP,3233841
ARFIN,168722482
ARIHANT,10862497
ARIHANTCAP,109612400
ARIHANTSUP,43249991
ARIS,81793846
ARKADE,185663617
ARMANFIN,10546332
AROGRANITE,15300000
ARROWGREEN,15087938
ARSSBL,63066400
ARTNIRMAN,24956000
ARVEE,11020000
ARVIND,272040630
ARVINDFASN,133729489
ARVSMART,45866979
ARYAMAN,12247000
ASAHIINDIA,254927192
ASAL,15864397
ASALCBR,20079200
ASHAPURMIN,95526098
ASHIANA,100524857
ASHIMASYN,191660078
ASHOKA,280723217
ASHOKAMET,24996000
ASHOKLEY,5873854552
ASIANENE,48591378
ASIANHOTNR,42633229
ASIANPAINT,958644295
ASIANTILES,296475285
ASIANTNE,24941800
ASKAUTOLTD,197142600
ASPINWALL,7818288
ASTAR,16006800
ASTEC,22282238
ASTERDM,871672439
ASTRAL,268650163
ASTRAMICRO,94945008
ASTRAZEN,25000000
ATALREAL,123896250
ATAM,11463000
ATGL,1099810083
ATHERENERG,396603751
ATL,291859323
ATLANTAA,81500000
ATLANTAELE,76896625
ATLASCYCLE,6503838
ATUL,29441755
ATULAUTO,27751280
AUBANK,749415850
AURIONPRO,53799664
AUROPHARMA,575377895
AURUM,76736194
AURUS,29484000
AUSOMENT,13623552
AUTOAXLES,15111975
AUTOIND,45375401
AVADHSUGAR,20018420
AVALON,66882300
AVANCE,1981917430
AVANTEL,265775866
AVANTIFEED,136245630
AVL,129138050
AVONMORE,282184741
AVROIND,13417140
AVTNPL,152284000
AWFIS,71563186
AWHCL,28371681
AWL,1291817635
AXISBANK,3113494427
AXISCADES,42533489
AXITA,382673533
AYE,244563725
AYMSYNTEX,58787883
AZAD,64581743
AZADIND,54443154
BAGFILMS,217918090
BAIDFIN,162092206
BAJAJ-AUTO,274803838
BAJAJCON,130618321
BAJAJELEC,115423636
BAJAJFINSV,1600244726
BAJAJHCARE,33665161
BAJAJHFL,8328662006
BAJAJHIND,2388886041
BAJAJHLDNG,111293510
BAJAJINDEF,32000000
BAJEL,115696935
BAJFINANCE,6220913102
BALAJEE,81570852
BALAJITELE,121902291
BALAMINES,32401000
BALAXI,55207500
BALKRISHNA,32219532
BALKRISIND,193317190
BALMLAWRIE,171003846
BALPHARMA,15920872
BALRAMCHIN,211597496
BALUFORGE,121391900
BANARBEADS,6597522
BANARISUG,12539700
BANCOINDIA,143037300
BANDHANBNK,1611147348
BANG,13560000
BANKA,10922432
BANKBARODA,5171362179
BANKINDIA,4552667866
BANSALWIRE,156555952
BANSWRAS,34232084
BASF,43285640
BATAINDIA,128527540
BATLIBOI,47226840
BAYERCROP,44942092
BBL,11303120
BBOX,177599205
BBTC,69771900
BBTCL,20511240
BCG,2018521873
BCLIND,295163340
BCONCEPTS,12481877
BCPL,16723638
BDL,366562500
BEARDSELL,39437000
BECTORFOOD,306702212
BEDMUTHA,32263884
BEL,7309778829
BELLACASA,13387500
BELRISE,967151919
BEML,83289000
BENARAS,1300000
BEPL,248858460
BERGEPAINT,1166002812
BESTAGRO,354671100
BETA,10136890
BFINVEST,37667628
