symbol,series,isin,name
3IINFOLTD,BE,INE748C01038,3I INFOTECH LIMITED
AARNAV,BE,INE750R01016,AARNAV FASHIONS LIMITED
AARTECH,BE,INE01C001026,AARTECH SOLONICS LIMITED
AARTISURF,BE,INE09EO01013,AARTI SURFACTANTS LIMITED
ABAN,BE,INE421A01028,ABAN OFFSHORE LTD.
ABINFRA,BE,INE00YB01025,A B INFRABUILD LIMITED
ABMINTLLTD,BE,INE251C01025,ABM INTERNATIONAL LTD
ACCURACY,BE,INE648Z01023,ACCURACY SHIPPING LIMITED
ACSTECH,BE,INE366C01021,A C S TECHNOLOGIES LTD.
AHLWEST,BE,INE915K01010,ASIAN HOTELS (WEST) LTD
AKI,BE,INE642Z01026,AKI INDIA LIMITED
AKSHARCHEM,BE,INE542B01011,AKSHARCHEM INDIA LIMITED
AKSHOPTFBR,BE,INE523B01011,AKSH OPTIFIBRE  LTD
ALPHAGEO,BE,INE137C01018,ALPHAGEO (INDIA) LIMITED
AMANTA,BE,INE084K01015,AMANTA HEALTHCARE LIMITED
AMBALALSA,BE,INE432A01017,AMBALAL SARABHAI ENT L
AMDIND,BE,INE005I01014,AMD INDUSTRIES LIMITED
ANMOL,BE,INE02AR01019,ANMOL INDIA LIMITED
APTECHT,BE,INE266F01018,APTECH LIMITED
ARIES,BE,INE298I01015,ARIES AGRO LTD.
ASAHISONG,BE,INE228I01012,ASAHI SONGWON COLOR LTD
ASHIKAG,BE,INE094B01013,ASHIKA GLOBAL SEC LTD
ASMS,BE,INE855F01042,AVIO SMART MRKT STACK LTD
AVG,BE,INE680Z01018,AVG LOGISTICS LIMITED
BAFNAPH,BE,INE878I01022,BAFNA PHARMACEUTICALS LTD
BASML,BE,INE186H01022,BANNARI AM SPIN MILL LTD.
BGRENERGY,BE,INE661I01014,BGR ENERGY SYSTEMS LTD
BHAGERIA,BE,INE354C01027,BHAGERIA INDUSTRIES LTD
BHARATGEAR,BE,INE561C01019,BHARAT GEARS LTD
BI,BE,INE986A01012,BILCARE LTD.
BILVYAPAR,BE,INE071A01013,BIL VYAPAR LIMITED
BIRLAPREC,BE,INE372E01025,BIRLA PRECISION TECH L
BLACKROSE,BE,INE761G01016,BLACK ROSE INDS. LTD.
BLISSGVS,BE,INE416D01022,BLISS GVS PHARMA LTD
BNALTD,BE,INE489D01011,B & A LTD.
BTTL,BE,INE274K01012,BHILWARA TECHNICAL TEXT L
BURNPUR,BE,INE817H01022,BURNPUR CEMENT LIMITED
BYKE,BE,INE319B01014,THE BYKE HOSPITALITY LTD
CALSOFT,BE,INE526B01014,CALIFORNIA SOFTWARE CO LT
CAPTRUST,BE,INE707C01018,CAPITAL TRUST LIMITED
CFEL,BE,INE700F01024,CONFIDENCE FUTURIST ENE L
CHEMBONDCH,BE,INE0TGX01019,CHEMBOND CHEMICAL LIMITED
CHEMCON,BE,INE03YM01018,CHEMCON SPECIAL CHEM LTD
CONSOFINVT,BE,INE025A01027,CONSO. FIN. & HOLD. LTD.
COUNCODOS,BE,INE695B01025,COUNTRY CONDO S LIMITED
CRSL,BE,INE716D01033,CRESSANDA RAILWAY SOLUT L
CTE,BE,INE627H01017,CAMBRIDGE TECH ENTER LTD
CURAA,BE,INE117B01020,CURA TECHNOLOGIES LIMITED
CYBERMEDIA,BE,INE278G01037,CYBER MEDIA (INDIA) LTD.
CYBERTECH,BE,INE214A01019,CYBERTECH SYSTEMS & SOFTW
DAICHI,BE,INE928C01010,DAI-ICHI KARKARIA LTD.
DAMODARIND,BE,INE497D01022,DAMODAR INDUSTRIES LTD
DBSTOCKBRO,BE,INE921B01025,DB (INT) STOCK BROKERS
DELPHIFX,BE,INE726L01027,DELPHI WORLD MONEY LTD
DHABRIYA,BE,INE260R01016,DHABRIYA POLYWOOD LTD.
DIACABS,BE,INE989C01038,DIAMOND POWER INFRA LTD
DIGJAMLMTD,BE,INE731U01028,DIGJAM LTD
DPSCLTD,BE,INE360C01024,DPSC LIMITED
DPWIRES,BE,INE864X01013,D P WIRES LIMITED
DSFCL,BE,INE0OFM01015,DCM SHRIRAM FINE CHEM LTD
DSKULKARNI,BE,INE891A01022,DS KULKARNI DEVELOPERS L
DTIL,BE,INE341R01014,DHUNSERI TEA & IND. LTD.
E2E,BE,INE255Z01027,E2E NETWORKS LIMITED
EASTSILK,BE,INE962C01035,EASTERN SILK INDUSTRIES L
EBIX,BE,INE432F01032,EBIX LIMITED
EIFFL,BE,INE546V01010,EURO (I) FRESH FOODS LTD
EMAMIPAP,BE,INE830C01026,EMAMI PAPER MILLS LIMITED
EMMBI,BE,INE753K01015,EMMBI INDUSTRIES LIMITED
EQUIPPP,BE,INE217G01035,EQUIPPP SOC IMP TECH LTD
ESAFSFB,BE,INE818W01011,ESAF SMALL FINANCE BANK L
EUROTEXIND,BE,INE022C01012,EUROTEX IND & EXPORTS LTD
EVERESTIND,BE,INE295A01018,EVEREST INDUSTRIES LTD
FAIRCHEMOR,BE,INE0DNW01011,FAIRCHEM ORGANICS LIMITED
FLEXITUFF,BE,INE060J01017,FLEXITUFF VENTURES INT L
FOCUS,BE,INE593W01028,FOCUS LIGHTG & FIXTRS LTD
GANESHBE,BE,INE388A01029,GANESH BENZOPLAST LIMITED
GATECH,BE,INE224E01028,GACM TECHNOLOGIES LIMITED
GATECHDVR,BE,INE224E01036,GACM TECHNOLOGIES LIMITED
GEECEE,BE,INE916G01016,GEECEE VENTURES LIMITED
GFSTEELS,BE,INE534A01028,GRAND FOUNDRY LTD
GICL,BE,INE947T01022,GLOBE INTL CARRIERS LTD
GINNIFILA,BE,INE424C01010,GINNIFILAMENTS LTD.
GOLDTECH,BE,INE805A01014,AION-TECH SOLUTIONS LTD
GRADIENTE,BE,INE361K01017,GRADIENTE INFOTAINMENT L
GRAVISSHO,BE,INE214F01026,GRAVISS HOSPITALITY LTD.
GULFPETRO,BE,INE586G01017,GP PETROLEUMS LIMITED
GVKPIL,BE,INE251H01024,GVK POW. & INFRA LTD.
GVPTECH,BE,INE382T01030,GVP INFOTECH LIMITED
HALDYNGL,BE,INE506D01020,HALDYN GLASS LTD.
HEG,BE,INE545A01024,HEG LIMITED
HEXAGON,BE,INE0JUI01012,HEXAGON NUTRITION LIMITED
HFCL,BE,INE548A01028,HFCL LIMITED
HITECHCORP,BE,INE120D01012,HITECH CORPORATION LTD
HITECHGEAR,BE,INE127B01011,THE HI-TECH GEARS LIMITED
HMVL,BE,INE871K01015,HINDUSTAN MEDIA VENT LTD
HYBRIDFIN,BE,INE965B01022,HYBRID FINANCIAL SERVICE
ICDSLTD,BE,INE613B01010,ICDSLTD
INDOAMIN,BE,INE760F01028,INDO AMINES LIMITED
INVPRECQ,BE,INE155E01016,INVESTMENT & PREC CAST L
IVP,BE,INE043C01018,IVP LIMITED
KALYANIFRG,BE,INE314G01014,KALYANI FORGE LIMITED
KAMDHENU,BE,INE390H01020,KAMDHENU LIMITED
KANORICHEM,BE,INE138C01024,KANORIACHEMICALS-
KAUSHALYA,BE,INE234I01028,KAUSHALYA INFRA DEV LTD.
KAVDEFENCE,BE,INE641C01019,KAVVERI DFS & WIR TEC LTD
KAYA,BE,INE587G01015,KAYA LIMITED
KCPSUGIND,BE,INE790B01024,KCPSUGARINDUS
KESORAMIND,BE,INE087A01019,KESORAM INDUSTRIES LTD
KHADIM,BE,INE834I01025,KHADIM INDIA LIMITED
KILITCH,BE,INE729D01010,KILITCH DRUGS INDIA LTD
KOTARISUG,BE,INE419A01022,KOTHARI SUG & CHEM LTD.
KOTYARK,BE,INE0J0B01017,KOTYARK INDUSTRIES LTD
KRONOX,BE,INE0ATZ01017,KRONOX LAB SCIENCES LTD
KSR,BE,INE1SPP01016,KSR FOOTWEAR LIMITED
LADDERUP,BE,INE519D01015,LADDERUP FINANCE LTD.
LANCORHOL,BE,INE572G01025,LANCOR HOLDINGS LIMITED
LEENEE,BE,INE791B01014,LEE & NEE SOFTWARES (E) L
LOTUSDEV,BE,INE0V9Q01010,SRI LOTUS DEVLPRS N RTY L
LYKALABS,BE,INE933A01014,LYKA LABS LTD.
MADHUCON,BE,INE378D01032,MADHUCON PROJECTS LTD.
MAHASTEEL,BE,INE451L01014,MAHAMAYA STEEL INDS LTD
MAJESAUT,BE,INE201B01022,MAJESTIC AUTO LTD.
MANAKSTEEL,BE,INE824Q01011,MANAKSIA STEELS LTD
MAZDA,BE,INE885E01042,MAZDA LIMITED
MBECL,BE,INE748A01024,MCNALLY BHARAT ENGIN CO L
MEDICAMEQ,BE,INE646B01010,MEDICAMEN BIOTECH LIMITED
MEDICAPQ,BE,INE442D01010,MEDI CAPS LTD.
MENNPIS,BE,INE650G01029,MENON PISTONS LTD.
MENONBE,BE,INE071D01033,MENON BEARINGS LIMITED
MHLXMIRU,BE,INE112D01035,MAHALAXMI RUBTECH LIMITED
MICEL,BE,INE287C01037,MIC ELECTRONICS LTD
MINALIND,BE,INE097E01028,MINAL INDUSTRIES LTD.
MODISONLTD,BE,INE737D01021,MODISON LIMITED
MOLDTECH,BE,INE835B01035,MOLD-TEK TECHNOLOGIES LTD
MOMSBELIEF,BE,INE1FCO01014,RAYS OF BELIEF LIMITED
MPDL,BE,INE493H01014,MPDL LTD.
MTARTECH,BE,INE864I01014,MTAR TECHNOLOGIES LIMITED
MTEDUCARE,BE,INE472M01018,MT EDUCARE LTD
MUKKA,BE,INE0CG401037,MUKKA PROTEINS LIMITED
MUKTAARTS,BE,INE374B01019,MUKTA ARTS LIMITED
